,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
BENIN,BEN,0.12,0.30,3.00,54.33,37.80,65.55,0.34,0.30,3.00,58.65,45.45,72.25,0.36,0.27,4.00,59.62,49.28,72.25,0.00,0.19,6.00,49.04,41.15,55.98,0.24,0.18,6.00,53.85,44.98,63.64,0.10,0.20,7.00,51.92,41.63,61.24,0.01,0.18,10.00,51.92,39.71,58.85,0.33,0.13,14.00,56.73,51.67,63.64,0.34,0.13,14.00,57.69,53.59,64.11,0.30,0.13,14.00,57.21,50.24,62.68,0.33,0.14,13.00,57.35,53.30,64.62,0.29,0.13,13.00,56.40,51.89,63.21,0.14,0.13,14.00,54.46,46.73,58.41,0.10,0.13,14.00,55.40,45.79,58.41,0.13,0.12,15.00,55.87,46.73,58.88,0.25,0.13,11.00,57.14,49.51,63.24,0.28,0.13,12.00,58.13,49.02,64.22
BERMUDA,BMU,1.13,0.41,1.00,84.62,62.20,100.00,1.10,0.47,1.00,84.13,58.37,100.00,0.88,0.47,1.00,75.00,51.67,99.04,1.05,0.51,1.00,79.81,54.07,100.00,1.10,0.48,1.00,86.06,55.98,100.00,1.08,0.39,1.00,83.65,61.24,98.56,1.12,0.42,1.00,85.58,61.72,100.00,1.04,0.51,1.00,81.25,54.55,100.00,1.01,0.53,1.00,79.33,54.07,100.00,1.00,0.53,1.00,80.29,53.59,100.00,1.00,0.52,1.00,77.73,54.25,100.00,1.02,0.49,1.00,79.62,55.66,100.00,1.05,0.46,1.00,80.75,56.54,100.00,1.07,0.44,1.00,82.63,58.41,100.00,1.05,0.47,1.00,81.69,57.01,100.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BHUTAN,BTN,-0.81,0.30,3.00,23.08,11.96,40.67,-0.99,0.30,3.00,19.71,8.61,34.93,-0.98,0.30,3.00,20.19,9.09,32.54,-1.23,0.26,4.00,12.98,5.26,23.92,-1.19,0.25,4.00,15.87,6.70,26.32,-0.92,0.22,6.00,21.63,12.92,31.58,-1.03,0.20,7.00,17.79,10.05,27.27,-1.01,0.14,8.00,19.71,12.44,25.36,-0.84,0.14,8.00,25.00,18.18,30.14,-0.56,0.13,8.00,29.33,27.27,35.41,-0.51,0.13,8.00,30.81,29.25,39.15,-0.46,0.13,8.00,34.60,29.25,39.62,-0.44,0.13,8.00,32.86,28.97,41.12,-0.31,0.13,8.00,39.44,31.78,46.26,-0.18,0.13,10.00,43.19,36.45,50.00,-0.14,0.16,7.00,43.84,34.80,50.98,-0.06,0.15,7.00,46.31,36.76,54.41
BOLIVIA,BOL,0.02,0.21,6.00,52.40,40.67,61.24,0.24,0.22,6.00,56.25,46.89,66.03,0.06,0.21,7.00,50.48,42.58,59.81,0.06,0.17,9.00,50.48,42.58,57.42,-0.09,0.17,9.00,44.71,39.23,52.15,-0.20,0.15,12.00,41.83,34.93,51.20,-0.17,0.15,13.00,43.75,34.45,53.59,0.03,0.12,15.00,47.60,42.58,55.50,0.00,0.12,15.00,47.60,42.11,55.02,-0.04,0.12,15.00,47.12,41.63,53.59,-0.03,0.12,15.00,47.39,41.04,54.72,-0.08,0.11,16.00,47.39,38.21,53.30,-0.10,0.11,17.00,46.01,38.79,52.80,-0.12,0.11,17.00,45.54,40.19,52.80,-0.10,0.11,16.00,46.48,40.19,53.27,-0.05,0.13,13.00,47.78,39.22,54.41,-0.06,0.13,13.00,46.80,38.24,53.43
BOSNIA AND HERZEGOVINA,BIH,-0.18,0.28,3.00,45.19,30.62,58.85,-0.13,0.28,3.00,46.15,32.06,58.37,-0.25,0.22,4.00,43.27,30.14,51.67,-0.20,0.17,7.00,43.27,36.84,50.72,0.14,0.16,7.00,50.48,43.54,61.24,0.12,0.17,9.00,52.88,44.50,61.24,0.18,0.17,9.00,55.77,46.89,63.64,0.16,0.15,10.00,53.37,45.45,58.85,0.10,0.14,12.00,51.44,44.98,56.94,-0.03,0.14,12.00,47.60,40.67,55.50,-0.04,0.14,12.00,46.45,40.09,55.66,-0.13,0.14,12.00,44.08,34.91,52.83,-0.21,0.14,11.00,41.31,32.24,51.40,-0.14,0.12,14.00,45.07,37.38,52.34,-0.16,0.12,13.00,43.66,36.92,51.40,-0.10,0.13,10.00,45.32,38.24,50.49,-0.11,0.13,11.00,44.33,36.76,50.49
BOTSWANA,BWA,0.87,0.22,5.00,74.52,64.11,87.08,0.73,0.23,5.00,70.19,58.85,84.21,0.64,0.21,6.00,66.83,56.46,78.95,0.65,0.17,9.00,67.79,58.85,73.21,0.69,0.16,10.00,68.27,61.24,76.56,0.73,0.16,11.00,72.60,62.20,80.38,0.57,0.15,13.00,65.87,59.33,72.73,0.49,0.13,15.00,61.54,56.46,69.86,0.48,0.13,15.00,61.06,55.50,68.90,0.48,0.13,15.00,61.54,56.94,68.90,0.42,0.13,15.00,59.24,55.66,67.92,0.44,0.13,15.00,61.14,55.66,67.92,0.40,0.13,15.00,59.62,55.14,67.29,0.51,0.12,16.00,64.79,58.41,69.16,0.47,0.11,17.00,62.91,57.01,67.29,0.41,0.12,13.00,60.59,55.39,67.65,0.43,0.12,14.00,62.56,56.37,69.12
BRAZIL,BRA,0.09,0.21,7.00,53.85,43.06,62.20,0.17,0.22,7.00,53.85,44.02,64.59,0.15,0.21,8.00,52.40,46.89,63.16,0.39,0.17,10.00,59.13,50.72,68.42,0.39,0.17,10.00,59.13,49.76,66.99,0.37,0.17,11.00,60.10,51.67,68.90,0.45,0.17,12.00,62.98,55.50,71.29,0.44,0.13,16.00,60.10,55.50,68.42,0.48,0.13,16.00,62.02,55.50,69.38,0.52,0.13,16.00,62.50,56.94,69.38,0.49,0.11,17.00,61.61,56.60,67.92,0.53,0.11,17.00,64.93,58.02,68.87,0.47,0.11,18.00,62.44,56.54,67.76,0.44,0.11,17.00,61.97,57.01,66.36,0.37,0.11,17.00,59.15,56.54,65.42,0.42,0.13,14.00,61.58,55.39,68.63,0.38,0.13,14.00,60.10,54.41,68.63
BRUNEI DARUSSALAM,BRN,-0.70,0.24,4.00,26.92,15.31,41.63,-0.79,0.26,4.00,25.48,12.44,38.76,-0.77,0.25,4.00,25.96,13.40,39.23,-0.92,0.23,5.00,21.63,12.44,32.06,-0.92,0.24,4.00,23.08,10.53,33.01,-0.86,0.25,4.00,23.08,13.88,34.93,-0.87,0.25,4.00,23.56,11.00,33.97,-1.08,0.22,4.00,18.27,8.61,28.23,-1.04,0.21,4.00,18.75,9.57,29.19,-0.98,0.21,5.00,20.67,10.53,28.71,-0.75,0.17,7.00,28.91,18.87,33.02,-0.65,0.16,7.00,29.86,22.64,34.91,-0.60,0.16,7.00,29.11,25.70,36.45,-0.50,0.15,7.00,32.39,26.64,41.12,-0.49,0.15,7.00,31.92,27.10,41.59,-0.66,0.17,4.00,28.57,22.06,35.29,-0.79,0.17,4.00,26.11,20.10,29.90
BULGARIA,BGR,0.37,0.22,5.00,61.54,52.15,71.29,0.37,0.23,5.00,59.62,50.24,70.33,0.41,0.19,7.00,60.10,51.67,70.81,0.48,0.16,9.00,62.02,54.07,70.33,0.51,0.15,9.00,62.98,54.07,70.81,0.54,0.16,9.00,64.90,56.94,74.64,0.57,0.16,10.00,65.38,59.33,72.73,0.55,0.13,14.00,63.94,56.94,71.77,0.68,0.13,14.00,68.27,60.29,74.16,0.56,0.13,14.00,64.90,57.89,69.86,0.56,0.13,14.00,64.93,57.55,69.34,0.52,0.13,14.00,64.45,57.08,69.34,0.44,0.13,15.00,61.50,56.07,67.29,0.39,0.12,15.00,60.56,56.54,65.89,0.32,0.12,14.00,58.69,56.07,64.49,0.34,0.13,12.00,59.61,51.47,67.16,0.39,0.13,12.00,61.08,54.41,68.63
BURKINA FASO,BFA,-0.73,0.24,4.00,26.44,14.35,40.19,-0.57,0.26,4.00,32.69,18.66,45.93,-0.36,0.23,5.00,38.94,26.79,50.24,-0.48,0.18,7.00,36.54,24.88,43.54,-0.33,0.17,7.00,39.42,29.67,44.98,-0.45,0.17,9.00,34.62,26.79,43.06,-0.46,0.16,11.00,33.65,27.27,42.11,-0.38,0.12,15.00,35.10,31.10,41.63,-0.34,0.12,15.00,36.06,31.58,44.50,-0.32,0.11,16.00,36.54,32.06,44.98,-0.32,0.11,16.00,38.39,31.13,43.87,-0.28,0.11,16.00,37.91,34.43,47.17,-0.31,0.11,17.00,38.03,31.31,44.86,-0.33,0.11,18.00,37.56,31.78,43.93,-0.29,0.10,18.00,39.44,32.24,44.86,-0.41,0.12,14.00,34.48,29.90,41.18,-0.19,0.12,13.00,40.89,34.80,48.53
BURUNDI,BDI,-1.75,0.30,3.00,3.85,0.00,13.40,-1.61,0.30,3.00,3.85,0.48,15.31,-1.63,0.27,4.00,4.33,0.48,13.40,-1.22,0.19,6.00,13.94,7.66,22.49,-1.24,0.18,6.00,14.42,7.18,22.01,-1.31,0.20,7.00,9.62,5.74,19.62,-0.64,0.19,8.00,28.37,22.97,37.32,-0.74,0.14,11.00,26.92,21.05,32.06,-0.74,0.14,12.00,28.37,20.57,32.06,-0.71,0.14,12.00,28.37,21.53,33.01,-0.71,0.14,12.00,29.38,21.23,32.55,-0.94,0.14,11.00,21.80,13.68,29.25,-0.93,0.14,12.00,23.47,14.02,28.50,-0.89,0.13,13.00,22.07,16.36,28.04,-0.95,0.12,14.00,22.07,15.42,27.10,-1.04,0.14,11.00,20.20,12.75,26.47,-1.27,0.14,10.00,13.79,8.33,20.10
CAMBODIA,KHM,-0.86,0.26,4.00,21.15,12.44,35.89,-0.92,0.26,4.00,21.63,11.00,34.93,-0.83,0.26,4.00,23.56,11.96,36.36,-0.78,0.19,6.00,24.52,19.14,37.32,-0.96,0.16,7.00,21.63,14.83,26.32,-0.89,0.17,8.00,22.60,16.27,28.71,-1.01,0.17,9.00,18.75,10.53,26.79,-0.93,0.13,11.00,21.63,17.22,28.23,-0.93,0.13,12.00,21.15,15.79,29.19,-0.97,0.12,13.00,21.15,16.27,27.27,-0.91,0.12,13.00,21.80,15.57,29.25,-0.93,0.12,13.00,22.27,14.62,28.77,-0.91,0.12,13.00,23.94,16.82,28.50,-0.96,0.12,13.00,19.72,15.42,26.64,-0.98,0.11,13.00,20.66,15.42,25.70,-1.10,0.14,10.00,18.23,10.78,24.02,-1.09,0.13,10.00,18.72,12.75,24.51
CAMEROON,CMR,-0.97,0.22,5.00,19.23,10.53,31.10,-1.14,0.23,5.00,13.94,7.66,27.27,-1.14,0.21,6.00,15.38,8.13,24.40,-1.17,0.17,8.00,15.87,10.05,22.97,-1.12,0.16,9.00,18.27,10.05,24.88,-0.99,0.17,9.00,19.71,13.88,26.79,-1.02,0.15,12.00,18.27,11.00,26.32,-1.03,0.13,14.00,19.23,11.96,25.36,-1.06,0.12,15.00,18.27,11.00,24.88,-1.08,0.13,15.00,16.83,11.48,22.97,-1.06,0.13,15.00,16.59,12.74,25.47,-1.08,0.13,15.00,16.59,12.26,25.47,-1.05,0.12,17.00,17.37,12.62,26.17,-1.03,0.12,17.00,17.84,14.49,24.77,-1.05,0.11,17.00,17.37,14.02,23.83,-0.97,0.12,14.00,21.67,15.20,26.96,-0.96,0.12,14.00,21.67,16.18,26.96
CANADA,CAN,1.62,0.22,6.00,99.52,87.08,100.00,1.62,0.23,6.00,99.04,88.52,100.00,1.59,0.22,7.00,98.08,87.56,100.00,1.52,0.20,8.00,98.56,88.04,100.00,1.53,0.19,8.00,97.60,88.04,100.00,1.68,0.19,8.00,96.63,90.43,100.00,1.50,0.19,8.00,94.71,88.04,100.00,1.44,0.16,11.00,95.67,88.52,100.00,1.40,0.15,12.00,94.71,86.60,100.00,1.43,0.15,12.00,95.19,87.56,100.00,1.43,0.15,12.00,95.26,87.74,100.00,1.38,0.15,12.00,93.84,85.85,99.06,1.41,0.14,13.00,94.37,88.32,99.07,1.45,0.13,13.00,94.37,89.72,98.13,1.47,0.13,12.00,95.31,90.65,99.07,1.43,0.15,10.00,95.57,86.76,99.51,1.44,0.14,10.00,96.06,86.76,99.51
CAPE VERDE,CPV,0.91,0.40,2.00,75.00,58.37,97.61,0.91,0.36,2.00,75.00,58.37,96.65,0.73,0.31,3.00,71.63,55.50,88.04,0.66,0.23,6.00,68.27,55.02,79.43,0.67,0.22,6.00,67.79,55.98,80.38,0.70,0.23,7.00,70.67,58.37,83.25,0.49,0.22,7.00,63.94,54.07,72.73,0.75,0.17,8.00,71.15,61.24,79.43,0.84,0.17,8.00,72.60,65.55,85.65,0.93,0.17,8.00,75.48,68.42,89.00,0.88,0.17,8.00,73.93,67.92,87.26,0.89,0.16,9.00,73.93,67.92,86.32,0.97,0.16,9.00,76.53,69.16,89.72,0.93,0.15,9.00,76.06,68.69,87.85,0.91,0.14,10.00,74.18,68.22,85.98,0.96,0.16,8.00,74.88,70.10,89.22,0.95,0.16,8.00,74.88,70.59,88.24
CAYMAN ISLANDS,CYM,1.57,0.41,1.00,97.60,74.64,100.00,1.54,0.47,1.00,98.08,70.81,100.00,1.53,0.47,1.00,96.15,71.77,100.00,1.49,0.51,1.00,96.15,67.46,100.00,0.87,0.48,1.00,73.08,48.80,100.00,0.84,0.39,1.00,75.48,55.98,93.78,0.88,0.42,1.00,74.52,56.46,96.17,0.81,0.51,1.00,73.56,45.93,100.00,0.78,0.53,1.00,71.15,45.93,100.00,0.79,0.53,1.00,71.15,45.45,100.00,0.53,0.26,2.00,62.56,53.30,75.00,0.54,0.24,2.00,65.40,55.19,75.47,0.55,0.23,2.00,65.26,55.14,75.23,0.55,0.20,2.00,65.26,56.54,74.30,0.52,0.20,2.00,64.79,56.54,73.36,0.44,0.27,1.00,62.07,49.51,73.04,0.43,0.28,1.00,62.07,47.55,73.53
CENTRAL AFRICAN REPUBLIC,CAF,-0.99,0.30,3.00,18.75,8.61,34.93,-0.75,0.30,3.00,26.92,11.96,43.06,-0.71,0.27,4.00,27.40,14.83,43.06,-1.08,0.19,6.00,19.23,10.53,24.88,-1.30,0.18,6.00,10.58,6.70,21.53,-1.30,0.20,7.00,11.54,5.74,20.10,-0.94,0.19,8.00,22.60,11.48,28.23,-1.04,0.15,9.00,18.75,10.53,25.36,-1.11,0.14,10.00,17.79,9.57,24.40,-1.01,0.14,9.00,19.23,12.44,27.27,-1.01,0.14,11.00,19.43,12.74,28.77,-1.12,0.14,11.00,14.22,10.85,23.58,-1.11,0.14,11.00,15.96,11.21,24.77,-1.26,0.13,11.00,13.15,7.01,17.29,-1.51,0.12,12.00,6.10,4.21,12.62,-1.42,0.14,9.00,8.87,4.90,14.71,-1.32,0.14,8.00,11.82,5.39,18.14
CHAD,TCD,-1.08,0.30,3.00,16.35,6.22,31.58,-1.05,0.30,3.00,16.83,7.18,33.49,-1.03,0.27,4.00,19.23,9.09,30.14,-0.97,0.19,6.00,20.19,12.44,28.71,-1.10,0.18,7.00,18.75,10.05,25.84,-1.20,0.19,8.00,15.38,7.66,22.97,-1.26,0.17,10.00,11.06,6.70,20.10,-1.43,0.13,13.00,8.65,7.18,13.88,-1.47,0.13,13.00,8.65,5.26,12.44,-1.46,0.13,13.00,8.65,4.31,12.92,-1.42,0.14,13.00,9.48,5.66,13.68,-1.37,0.13,13.00,10.43,6.13,13.68,-1.36,0.13,13.00,10.33,6.07,14.02,-1.34,0.13,13.00,10.33,6.07,15.89,-1.39,0.12,14.00,9.39,5.14,15.42,-1.34,0.13,11.00,10.34,5.39,17.16,-1.35,0.13,11.00,10.34,5.39,17.16
CHILE,CHL,0.65,0.21,7.00,68.27,60.29,76.56,0.52,0.22,7.00,64.42,53.11,73.21,0.83,0.21,8.00,74.52,63.16,87.08,1.06,0.17,10.00,80.29,70.81,91.87,0.98,0.17,10.00,79.33,69.38,90.43,1.16,0.17,11.00,87.98,77.99,90.91,1.24,0.17,11.00,89.42,77.51,95.22,1.07,0.14,14.00,84.13,74.64,91.87,1.10,0.14,14.00,84.62,73.68,92.34,1.00,0.13,14.00,77.40,69.86,89.00,1.01,0.13,15.00,78.67,70.28,90.09,1.09,0.13,15.00,82.94,73.11,91.98,1.07,0.13,15.00,82.63,74.30,91.59,1.07,0.12,15.00,83.10,73.83,91.12,1.10,0.12,15.00,84.51,73.83,91.59,1.04,0.13,13.00,79.31,72.06,91.67,0.99,0.13,13.00,76.35,72.06,86.27
CHINA,CHN,-1.29,0.22,6.00,12.02,5.26,20.57,-1.36,0.23,6.00,10.58,3.35,20.57,-1.29,0.22,7.00,11.54,3.83,21.05,-1.57,0.17,9.00,6.25,1.91,12.44,-1.54,0.17,9.00,7.21,2.87,12.92,-1.46,0.16,11.00,7.69,4.31,15.31,-1.50,0.16,11.00,7.69,4.31,12.44,-1.69,0.12,12.00,6.25,2.87,8.13,-1.67,0.12,14.00,5.29,3.83,8.61,-1.64,0.12,14.00,5.77,3.83,9.09,-1.66,0.12,14.00,5.21,3.30,8.02,-1.63,0.12,14.00,5.21,3.77,9.43,-1.59,0.11,15.00,5.63,3.74,10.28,-1.59,0.11,15.00,4.69,3.74,8.41,-1.58,0.11,14.00,5.16,4.21,8.88,-1.55,0.13,11.00,5.42,3.92,10.78,-1.58,0.13,11.00,4.93,3.92,10.29
COLOMBIA,COL,-0.65,0.21,7.00,29.33,18.66,40.67,-0.48,0.22,7.00,35.10,23.44,47.37,-0.56,0.21,8.00,31.25,22.01,45.45,-0.50,0.17,10.00,35.10,24.88,42.58,-0.48,0.17,10.00,34.13,26.32,40.67,-0.31,0.15,13.00,38.46,31.58,46.89,-0.30,0.15,14.00,37.98,30.14,47.85,-0.18,0.12,16.00,41.83,34.93,46.89,-0.18,0.12,17.00,43.27,35.41,47.85,-0.18,0.11,17.00,42.79,34.93,48.33,-0.16,0.11,17.00,43.13,35.38,49.06,-0.16,0.11,17.00,42.65,35.38,49.53,-0.09,0.11,18.00,46.48,39.25,53.74,-0.09,0.11,18.00,46.01,40.65,54.67,-0.11,0.11,17.00,45.07,39.25,53.27,-0.10,0.13,14.00,45.81,38.73,50.98,-0.07,0.13,14.00,45.81,37.75,51.96
COMOROS,COM,-0.58,0.30,3.00,31.25,16.27,48.80,-0.52,0.30,3.00,34.62,18.66,48.80,-1.16,0.27,4.00,14.42,5.26,27.27,-0.43,0.23,5.00,38.46,23.92,46.89,-0.57,0.22,5.00,31.25,22.49,40.67,-0.55,0.23,6.00,31.73,21.53,43.54,-0.63,0.23,6.00,28.85,19.14,39.71,-0.29,0.17,7.00,37.98,30.62,46.41,-0.47,0.17,7.00,34.13,27.27,43.06,-0.37,0.17,7.00,35.10,28.71,45.45,-0.38,0.17,8.00,34.60,30.19,45.28,-0.47,0.17,8.00,34.12,28.30,41.04,-0.43,0.16,8.00,33.33,28.50,43.93,-0.51,0.16,8.00,31.92,26.17,41.12,-0.52,0.14,9.00,30.99,27.10,40.19,-0.34,0.16,7.00,36.45,29.90,47.06,-0.30,0.16,6.00,37.44,29.41,47.06
"CONGO, DEM. REP.",ZAR,-1.68,0.26,3.00,4.33,0.00,13.40,-1.88,0.28,3.00,2.40,0.00,9.09,-1.84,0.25,4.00,2.40,0.00,9.09,-1.66,0.18,7.00,3.85,1.44,11.00,-1.61,0.17,7.00,6.25,1.91,10.05,-1.73,0.17,9.00,3.85,0.96,8.13,-1.55,0.16,10.00,6.25,3.35,10.53,-1.28,0.13,11.00,10.58,8.13,18.66,-1.26,0.13,13.00,11.54,8.61,18.66,-1.45,0.13,13.00,9.62,4.78,13.88,-1.45,0.12,14.00,9.00,6.60,12.74,-1.44,0.11,14.00,9.00,5.66,12.26,-1.52,0.12,14.00,7.51,4.67,11.68,-1.51,0.12,14.00,6.57,4.21,11.68,-1.48,0.11,15.00,7.04,4.21,12.62,-1.30,0.13,11.00,11.82,6.37,18.63,-1.31,0.13,11.00,12.81,6.86,18.14
"CONGO, REP.",COG,-1.02,0.24,4.00,17.79,8.61,30.62,-1.59,0.26,4.00,5.29,1.44,13.40,-1.51,0.23,5.00,7.69,1.91,16.75,-0.92,0.21,6.00,22.12,12.44,30.62,-0.78,0.20,6.00,25.96,18.18,35.41,-0.95,0.21,7.00,20.67,12.44,29.67,-1.08,0.16,10.00,15.87,10.05,24.88,-1.22,0.14,10.00,12.98,8.61,21.05,-1.25,0.14,10.00,12.02,8.61,19.14,-1.17,0.14,10.00,15.87,10.05,21.53,-1.10,0.13,12.00,16.11,9.91,24.53,-1.06,0.13,12.00,17.06,12.26,26.42,-1.11,0.13,12.00,16.43,11.68,24.77,-1.15,0.13,12.00,15.49,10.28,20.56,-1.10,0.12,13.00,15.96,12.62,22.43,-1.08,0.13,10.00,18.72,11.76,24.02,-0.98,0.13,10.00,21.18,14.71,26.96
COOK ISLANDS,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.33,0.89,1.00,36.97,3.77,86.32,-0.30,0.88,1.00,36.97,3.77,86.32,-0.36,0.85,1.00,35.68,4.21,79.44,-0.42,0.84,1.00,34.27,3.74,77.10,-0.41,0.84,1.00,35.68,3.27,78.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COSTA RICA,CRI,1.05,0.21,6.00,81.25,70.81,90.91,1.13,0.22,6.00,85.58,70.81,95.22,1.08,0.21,7.00,82.69,71.77,92.82,1.10,0.17,9.00,83.65,72.73,93.30,0.96,0.17,9.00,76.92,67.94,89.95,1.00,0.17,11.00,80.77,71.77,89.00,0.81,0.16,12.00,72.60,64.11,83.73,0.88,0.14,13.00,75.00,68.42,86.12,0.90,0.14,14.00,74.52,68.90,86.12,0.94,0.14,14.00,75.96,69.38,86.60,0.99,0.14,14.00,75.83,69.34,90.09,1.02,0.14,13.00,78.20,70.75,91.04,1.04,0.14,12.00,79.34,71.03,91.59,1.07,0.13,13.00,83.57,73.83,91.12,1.06,0.13,13.00,82.63,73.36,91.59,1.13,0.13,12.00,83.74,73.04,92.65,1.14,0.13,12.00,84.24,73.53,92.65
CÔTE D'IVOIRE,CIV,-0.64,0.22,5.00,30.29,18.18,42.11,-0.73,0.23,5.00,28.37,15.31,38.76,-1.10,0.21,6.00,17.79,9.09,26.79,-1.20,0.17,8.00,15.38,9.57,21.53,-1.25,0.16,8.00,13.46,8.13,21.53,-1.30,0.17,9.00,12.02,6.22,19.14,-1.36,0.16,10.00,9.62,5.74,15.31,-1.36,0.13,11.00,9.62,7.18,17.22,-1.28,0.13,10.00,10.10,8.13,18.18,-1.24,0.13,12.00,12.50,8.61,18.66,-1.11,0.12,14.00,15.17,10.38,21.70,-1.10,0.11,14.00,15.64,12.26,23.11,-1.13,0.11,15.00,15.02,11.68,22.43,-0.81,0.11,16.00,24.88,18.69,29.44,-0.78,0.11,17.00,26.76,21.96,28.97,-0.53,0.12,13.00,31.03,27.94,37.25,-0.44,0.12,13.00,32.51,28.92,39.71
CROATIA,HRV,-0.16,0.26,4.00,46.63,31.10,58.85,-0.34,0.23,5.00,39.42,29.19,51.67,0.47,0.20,6.00,62.02,52.15,72.25,0.50,0.16,9.00,62.98,54.55,70.33,0.58,0.15,9.00,65.38,57.89,71.29,0.64,0.16,10.00,68.75,60.29,77.99,0.43,0.16,11.00,62.02,55.50,70.81,0.44,0.14,13.00,59.62,55.02,69.38,0.48,0.14,13.00,61.54,55.50,69.38,0.43,0.14,12.00,59.13,55.02,68.42,0.44,0.14,12.00,59.72,55.66,67.92,0.43,0.14,12.00,60.19,55.19,67.92,0.48,0.13,13.00,62.91,56.07,68.22,0.51,0.12,14.00,64.32,58.41,69.63,0.48,0.12,14.00,63.85,57.01,68.22,0.48,0.13,12.00,63.55,57.84,70.10,0.50,0.13,12.00,64.53,58.33,70.59
CUBA,CUB,-1.39,0.22,5.00,9.62,3.83,17.70,-1.59,0.23,5.00,4.81,1.44,12.92,-1.63,0.23,5.00,3.85,0.96,11.96,-1.66,0.17,7.00,4.81,1.44,11.00,-1.87,0.17,7.00,1.92,0.48,6.70,-1.83,0.18,8.00,1.92,0.48,6.70,-1.86,0.18,8.00,2.88,0.96,6.22,-1.85,0.14,10.00,2.88,0.96,7.18,-1.82,0.14,10.00,3.85,2.39,7.18,-1.75,0.14,9.00,3.85,2.39,8.13,-1.66,0.14,9.00,4.74,2.83,9.43,-1.55,0.14,9.00,6.64,3.77,11.32,-1.53,0.14,9.00,7.04,4.21,12.15,-1.43,0.13,10.00,7.51,4.21,14.49,-1.40,0.13,10.00,8.92,4.21,15.42,-1.51,0.14,8.00,6.40,4.41,12.25,-1.53,0.14,7.00,5.91,4.41,13.73
CYPRUS,CYP,1.03,0.22,5.00,79.33,68.42,90.91,0.97,0.23,5.00,76.44,66.03,90.43,1.07,0.23,5.00,82.21,69.86,93.30,1.14,0.21,5.00,85.58,71.29,96.17,0.97,0.20,6.00,77.88,66.99,90.91,0.95,0.19,7.00,79.33,68.42,89.00,0.99,0.19,7.00,78.85,69.86,89.95,1.05,0.17,8.00,81.73,72.25,91.87,1.07,0.17,8.00,82.69,71.29,93.30,1.09,0.17,8.00,83.65,71.77,93.78,1.08,0.16,9.00,82.94,71.23,92.45,1.02,0.15,9.00,77.73,70.28,91.51,1.05,0.15,9.00,81.69,71.03,92.06,1.01,0.15,9.00,79.34,71.03,89.72,0.97,0.14,9.00,77.93,70.09,88.32,1.04,0.16,7.00,78.82,71.08,92.16,1.04,0.16,7.00,79.80,72.06,92.16
