Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Arab World,ARB,36.736258969262,36.7821209269232,37.8980895787536,39.0393161015766,37.9253443334831,38.102688851288,38.3013457031913,38.6477650202576,38.992020191828,37.0846185392417,35.9584621714882,35.9611126800183,35.1117783853039,34.9825560832462,35.1253427648803
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Caribbean small states,CSS,43.9958467324742,45.2473531458333,44.5429722388971,45.3814727513844,45.5064911925775,45.7441520552159,44.0622165108312,41.4202458077908,39.0067923116716,40.1056768562137,38.4808648678043,39.2565074164931,40.1233341641755,40.4124522111106,40.4782621203869
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Central Europe and the Baltics,CEB,28.2539687476259,27.7814639043309,26.9894350341353,26.4711280340787,28.2931954507865,30.1043619874676,31.1401033352305,29.1425880126223,27.9435524839859,27.0945442593431,26.883819793786,26.9475939037218,28.5362837273932,29.4422063840758,30.4260111023973
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Early-demographic dividend,EAR,54.2470304578134,54.4593709128815,54.831364309779,54.5377419841193,53.8494853644539,53.2786204218146,52.170304338647,51.0170003558404,50.1300342257906,49.1637790077015,48.4756406116408,47.9544033788548,47.68999917555,47.7856962673484,47.9148291788581
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,East Asia & Pacific,EAS,55.1831341824272,54.3742033172875,53.3069823712313,52.5003656800583,51.9666618893325,52.0287636147637,51.3380161377916,50.934993632858,50.3735230648942,50.209820218569,50.021133886642,49.3864133480346,48.8150941571673,48.7849898391828,48.9026647973322
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,East Asia & Pacific (excluding high income),EAP,56.5369442255266,55.6690552518813,54.4800438077595,53.5695458756738,52.9421149766837,52.9574910161305,52.2552707465028,51.9560027820252,51.3923718793101,51.2260611145953,51.0240457565729,50.3594639873229,49.7648226743277,49.7244804764563,49.8650111059871
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,56.387453907657,55.5139855766041,54.3208679157205,53.4068196896513,52.7806433987616,52.8068716553405,52.1028981568911,51.7996812309114,51.2401577491877,51.0801499269287,50.8766858607187,50.2051618945465,49.6029850287899,49.557250015638,49.6925022513578
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Euro area,EMU,39.9606143133556,38.7650163393609,38.9469438323168,39.6628743594833,40.5215694933176,41.3477026557131,40.9412937913229,37.3288114960401,35.985173240733,35.209822328197,33.5981235000109,32.6897870249814,32.4039653254895,32.9584933161366,33.7316000074964
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Europe & Central Asia,ECS,39.5898773295438,38.4807825042218,38.8739269859053,39.2433749499168,39.7794201753606,40.4758482126255,41.2223685699717,38.8251507796768,38.2791586816211,38.4835009143728,37.7066885163188,37.4167581085668,37.7298521706883,38.0723198663616,38.4737190750191
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Europe & Central Asia (excluding high income),ECA,38.3458221968688,37.2162980946117,37.9286200325446,38.314898853184,38.415172512345,38.9599254338693,40.5036671078431,38.9125855176804,38.9254325486475,39.953250927617,39.447362202136,39.4208863251812,39.5502889336913,39.4621840488597,39.4701176950609
